,Type,Sex,Size,Age,Outcome Type,Intake Condition,First_Color,Second_Color,First Breed,Second Breed
14317,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,Other,,DOMESTIC SH,
14318,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,TORTIE,,DOMESTIC SH,
14319,CAT,Female,SMALL,2.0,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
14320,CAT,Male,KITTN OR PUPPY,0.09,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
14322,DOG,Female,LARGE,9.0,ADOPTION,TREATABLE/REHAB,WHITE,TAN,PIT BULL,
14324,CAT,Unknown,KITTN OR PUPPY,0.08,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC LH,
14325,CAT,Unknown,KITTN OR PUPPY,0.08,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
14328,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,LYNX PT,,SIAMESE,
14333,CAT,Unknown,SMALL,1.98,EUTHANIZE,HEALTHY,WHITE,BLACK,DOMESTIC SH,
14334,DOG,Female,SMALL,1.98,EUTHANIZE,HEALTHY,TAN,,CHIHUAHUA SH,
14335,DOG,Male,MED,3.57,EUTHANIZE,HEALTHY,WHITE,,GERM SHEPHERD,MIX
14336,DOG,Female,TOY,1.98,EUTHANIZE,UNTREATABLE,TAN,BLACK,CHIHUAHUA SH,
14337,DOG,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,,POODLE MIN,MIX
14340,CAT,Female,KITTN OR PUPPY,0.11,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
14345,CAT,Female,SMALL,0.17,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
14352,DOG,Male,MED,4.51,EUTHANIZE,HEALTHY,WHITE,BLACK,BORDER COLLIE,MIX
14357,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BROWN,DOMESTIC LH,
14372,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,HEALTHY,WHITE,BLACK,DOMESTIC SH,
14373,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,HEALTHY,BRN TABBY,,DOMESTIC SH,
14374,CAT,Female,KITTN OR PUPPY,1.98,EUTHANIZE,HEALTHY,TORTIE,,DOMESTIC SH,
14375,CAT,Female,KITTN OR PUPPY,1.98,EUTHANIZE,HEALTHY,CALICO,,DOMESTIC SH,
14376,CAT,Male,SMALL,8.01,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC LH,
14377,DOG,Male,MED,1.18,ADOPTION,HEALTHY,WHITE,Other,PIT BULL,
14385,CAT,Female,KITTN OR PUPPY,0.1,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC LH,
14386,CAT,Male,KITTN OR PUPPY,0.1,ADOPTION,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14390,CAT,Female,SMALL,1.92,ADOPTION,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14391,CAT,Female,KITTN OR PUPPY,0.06,EUTHANIZE,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14392,CAT,Male,KITTN OR PUPPY,0.06,EUTHANIZE,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14393,CAT,Female,KITTN OR PUPPY,0.06,EUTHANIZE,TREATABLE/REHAB,TORTIE,,DOMESTIC SH,
14394,CAT,Male,KITTN OR PUPPY,0.06,EUTHANIZE,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14395,CAT,Female,KITTN OR PUPPY,1.98,EUTHANIZE,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14396,CAT,Male,KITTN OR PUPPY,0.06,EUTHANIZE,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14397,CAT,Male,KITTN OR PUPPY,0.06,EUTHANIZE,TREATABLE/REHAB,BLACK,,DOMESTIC SH,
14399,CAT,Female,KITTN OR PUPPY,0.22,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14400,CAT,Female,KITTN OR PUPPY,0.22,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC MH,
14401,CAT,Male,KITTN OR PUPPY,0.12,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
14402,CAT,Female,KITTN OR PUPPY,0.22,ADOPTION,TREATABLE/REHAB,BRN TABBY,,DOMESTIC SH,
14403,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,,DOMESTIC SH,
14405,CAT,Male,KITTN OR PUPPY,0.22,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC MH,
14406,CAT,Unknown,SMALL,1.98,EUTHANIZE,HEALTHY,TRICOLOR,,DOMESTIC SH,
14407,CAT,Male,MED,1.98,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
14410,CAT,Male,SMALL,1.46,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14414,CAT,Male,KITTN OR PUPPY,0.27,ADOPTION,HEALTHY,LYNX PT,,SIAMESE,
14415,CAT,Female,SMALL,0.67,ADOPTION,TREATABLE/REHAB,WHITE,GRAY,DOMESTIC SH,
14421,CAT,Male,SMALL,0.67,ADOPTION,TREATABLE/MANAGEABLE,GRAY TABBY,,DOMESTIC SH,
14428,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TORTIE,,DOMESTIC SH,
14430,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,LYNX PT,,SIAMESE,MIX
14431,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TORTIE,BRN TABBY,DOMESTIC SH,
14433,DOG,Female,LARGE,3.0,ADOPTION,HEALTHY,Other,,PIT BULL,
14435,CAT,Male,KITTN OR PUPPY,0.13,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
14437,CAT,Female,KITTN OR PUPPY,0.13,ADOPTION,HEALTHY,CALICO,,DOMESTIC SH,
14438,CAT,Male,KITTN OR PUPPY,0.18,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
14443,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
14445,CAT,Male,SMALL,5.95,ADOPTION,HEALTHY,Other,,DOMESTIC SH,
14446,DOG,Female,MED,1.95,ADOPTION,HEALTHY,BLACK,Other,PIT BULL,
14449,DOG,Female,MED,5.96,ADOPTION,TREATABLE/REHAB,WHITE,BR BRINDLE,PIT BULL,MIX
14450,DOG,Female,LARGE,0.87,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
14452,CAT,Female,SMALL,7.5,EUTHANIZE,HEALTHY,BRN TABBY,,DOMESTIC SH,
14455,CAT,Female,KITTN OR PUPPY,0.18,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
14456,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
14457,DOG,Male,LARGE,1.0,ADOPTION,HEALTHY,WHITE,BLUE,PIT BULL,
14458,CAT,Male,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
14461,DOG,Male,SMALL,0.27,ADOPTION,HEALTHY,BROWN,BLACK,GERM SHEPHERD,MIX
14464,CAT,Female,SMALL,1.98,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
14466,DOG,Male,LARGE,1.77,EUTHANIZE,UNTREATABLE,Other,,MIX,Other
14468,CAT,Female,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
14469,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,Other,,DOMESTIC SH,
14471,CAT,Male,KITTN OR PUPPY,0.12,ADOPTION,TREATABLE/REHAB,BRN TABBY,,DOMESTIC SH,
14473,CAT,Male,KITTN OR PUPPY,0.18,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC MH,
14474,DOG,Male,LARGE,3.18,ADOPTION,TREATABLE/REHAB,TAN,BLACK,Other,
14478,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC LH,
14482,CAT,Female,SMALL,0.18,ADOPTION,HEALTHY,LYNX PT,,SIAMESE,
14484,CAT,Female,SMALL,1.96,ADOPTION,HEALTHY,GRAY TABBY,Other,DOMESTIC SH,
14488,CAT,Male,SMALL,1.98,EUTHANIZE,HEALTHY,Other,,DOMESTIC SH,
14489,CAT,Female,KITTN OR PUPPY,0.2,ADOPTION,TREATABLE/MANAGEABLE,Other,,DOMESTIC SH,
14492,DOG,Male,SMALL,0.95,ADOPTION,HEALTHY,WHITE,BLACK,CHIHUAHUA SH,
14494,DOG,Female,SMALL,1.97,ADOPTION,HEALTHY,TAN,,PARSON RUSS TER,DACHSHUND
14496,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,TREATABLE/REHAB,WHITE,Other,DOMESTIC SH,
14499,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,TREATABLE/REHAB,WHITE,BRN TABBY,DOMESTIC SH,
14501,CAT,Male,SMALL,1.98,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
14502,DOG,Female,SMALL,7.04,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,
14504,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,TREATABLE/REHAB,WHITE,BRN TABBY,DOMESTIC SH,
14509,DOG,Male,MED,1.47,ADOPTION,HEALTHY,WHITE,BLACK,BORDER COLLIE,MIX
14511,DOG,Male,SMALL,2.0,ADOPTION,HEALTHY,TAN,BLACK,CHIHUAHUA SH,
14515,DOG,Male,LARGE,12.19,EUTHANIZE,HEALTHY,WHITE,BLACK,SIBERIAN HUSKY,MIX
14527,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,BR BRINDLE,PIT BULL,
14528,DOG,Female,SMALL,1.98,EUTHANIZE,HEALTHY,WHITE,GRAY,SHIH TZU,
14532,DOG,Male,LARGE,3.93,ADOPTION,TREATABLE/MANAGEABLE,BROWN,BLACK,PIT BULL,MIX
14534,DOG,Female,MED,1.45,ADOPTION,HEALTHY,TAN,BLACK,Other,GERM SHEPHERD
14537,CAT,Male,SMALL,11.19,EUTHANIZE,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
14538,DOG,Female,SMALL,1.98,EUTHANIZE,HEALTHY,WHITE,GRAY,Other,
14539,CAT,Female,SMALL,1.98,EUTHANIZE,TREATABLE/REHAB,BRN TABBY,,DOMESTIC SH,
14541,CAT,Female,KITTN OR PUPPY,0.19,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
14548,CAT,Male,KITTN OR PUPPY,0.22,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
14549,CAT,Male,KITTN OR PUPPY,0.32,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
14550,DOG,Female,SMALL,9.33,EUTHANIZE,UNTREATABLE,TAN,BLACK,CHIHUAHUA SH,
14562,CAT,Female,KITTN OR PUPPY,0.22,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
14564,CAT,Female,SMALL,5.96,EUTHANIZE,UNTREATABLE,Other,,SIAMESE,
14565,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
14566,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14569,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14570,CAT,Female,SMALL,0.96,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14571,CAT,Female,SMALL,1.96,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
14572,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
