,Type,Sex,Size,Age,Outcome Type,Intake Condition,First_Color,Second_Color,First Breed,Second Breed
1,CAT,Female,SMALL,5.98,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
2,DOG,Female,MED,0.97,EUTHANIZE,HEALTHY,WHITE,GRAY,PIT BULL,
3,CAT,Female,SMALL,6.42,ADOPTION,TREATABLE/REHAB,CALICO,,DOMESTIC SH,
4,DOG,Female,MED,0.89,EUTHANIZE,HEALTHY,WHITE,BLUE,PIT BULL,
5,DOG,Male,MED,6.04,EUTHANIZE,UNTREATABLE,WHITE,Other,MIX,Other
6,DOG,Male,TOY,6.01,EUTHANIZE,TREATABLE/MANAGEABLE,TAN,,CHIHUAHUA SH,
7,DOG,Male,MED,0.94,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,
8,DOG,Female,MED,1.99,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
9,CAT,Female,KITTN OR PUPPY,0.07,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
10,DOG,Female,LARGE,2.94,ADOPTION,TREATABLE/REHAB,BLACK,,PIT BULL,
11,DOG,Male,TOY,10.92,ADOPTION,TREATABLE/REHAB,TAN,BLACK,CHIHUAHUA SH,
12,CAT,Female,SMALL,5.0,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BLACK,DOMESTIC SH,
13,DOG,Male,SMALL,1.98,ADOPTION,TREATABLE/REHAB,BLUE,Other,CHIHUAHUA SH,
15,DOG,Female,SMALL,12.53,ADOPTION,HEALTHY,TRICOLOR,,PARSON RUSS TER,
17,DOG,Male,MED,2.0,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,Other
18,DOG,Female,LARGE,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BROWN,PIT BULL,
19,DOG,Male,MED,0.94,ADOPTION,HEALTHY,BROWN,,LABRADOR RETR,MIX
20,DOG,Male,LARGE,0.87,ADOPTION,HEALTHY,RED,BLACK,Other,
21,CAT,Male,SMALL,12.0,ADOPTION,HEALTHY,GRAY TABBY,,Other,
22,DOG,Male,LARGE,1.97,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,
23,DOG,Male,LARGE,6.51,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,Other,PIT BULL,
24,DOG,Male,MED,3.0,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BROWN,MIX,Other
25,DOG,Male,MED,2.93,ADOPTION,TREATABLE/MANAGEABLE,TAN,,MIX,Other
26,DOG,Male,MED,0.8,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,Other,PIT BULL,MIX
27,DOG,Female,LARGE,0.67,EUTHANIZE,TREATABLE/MANAGEABLE,BROWN,BLACK,GERM SHEPHERD,
28,CAT,Female,SMALL,9.01,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC MH,
29,DOG,Male,MED,0.5,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,
30,DOG,Male,SMALL,0.83,ADOPTION,HEALTHY,WHITE,,CAIRN TERRIER,MIX
31,DOG,Male,KITTN OR PUPPY,0.02,ADOPTION,HEALTHY,WHITE,BLUE,PIT BULL,
32,DOG,Male,TOY,14.99,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,MIX
33,DOG,Male,SMALL,0.95,ADOPTION,HEALTHY,TRICOLOR,,CHIHUAHUA SH,
34,DOG,Female,MED,2.0,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,
35,DOG,Male,LARGE,9.01,EUTHANIZE,UNTREATABLE,BROWN,,LABRADOR RETR,MIX
36,DOG,Male,MED,0.64,ADOPTION,HEALTHY,BR BRINDLE,,PIT BULL,GERM SHEPHERD
37,DOG,Female,MED,4.0,ADOPTION,HEALTHY,TRICOLOR,,Other,
38,DOG,Female,MED,12.01,ADOPTION,HEALTHY,TRICOLOR,,AUST KELPIE,MIX
39,CAT,Male,SMALL,14.01,EUTHANIZE,TREATABLE/MANAGEABLE,BLACK,,DOMESTIC SH,
40,DOG,Female,LARGE,4.95,EUTHANIZE,UNTREATABLE,TAN,Other,ROTTWEILER,MIX
41,DOG,Male,LARGE,1.0,EUTHANIZE,TREATABLE/MANAGEABLE,BR BRINDLE,,Other,
45,DOG,Male,LARGE,1.42,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
46,DOG,Male,MED,2.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BR BRINDLE,PIT BULL,
47,DOG,Male,LARGE,2.0,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PIT BULL,
48,DOG,Female,LARGE,1.0,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,BOXER
49,DOG,Female,LARGE,2.96,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,GRAY,PIT BULL,
50,DOG,Female,MED,1.0,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BROWN,PIT BULL,
51,CAT,Male,SMALL,0.33,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
54,CAT,Female,SMALL,13.01,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
55,DOG,Male,LARGE,3.94,ADOPTION,TREATABLE/MANAGEABLE,BR BRINDLE,,Other,
56,DOG,Female,SMALL,12.96,ADOPTION,HEALTHY,WHITE,BLACK,PARSON RUSS TER,MIX
57,DOG,Female,SMALL,3.64,ADOPTION,HEALTHY,BROWN,,SHIH TZU,CHIHUAHUA SH
58,DOG,Male,SMALL,3.64,ADOPTION,TREATABLE/MANAGEABLE,BROWN,,SHIH TZU,CHIHUAHUA SH
59,DOG,Male,SMALL,2.0,ADOPTION,HEALTHY,TAN,Other,CHIHUAHUA SH,
60,DOG,Male,LARGE,0.96,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,
61,DOG,Female,SMALL,2.0,ADOPTION,HEALTHY,BLUE,Other,CHIHUAHUA SH,
63,CAT,Male,SMALL,1.96,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
65,DOG,Male,TOY,7.01,ADOPTION,HEALTHY,WHITE,Other,PARSON RUSS TER,MIX
66,DOG,Female,TOY,1.0,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
67,DOG,Unknown,SMALL,1.98,ADOPTION,HEALTHY,TAN,,Other,
68,DOG,Male,MED,1.0,ADOPTION,HEALTHY,RED,,PIT BULL,
69,DOG,Male,SMALL,1.98,ADOPTION,HEALTHY,TAN,BLACK,CAIRN TERRIER,MIX
71,DOG,Female,MED,1.13,EUTHANIZE,UNTREATABLE,TAN,Other,PIT BULL,MIX
72,DOG,Female,KITTN OR PUPPY,0.48,ADOPTION,HEALTHY,RED,,PIT BULL,
73,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC MH,
76,DOG,Female,LARGE,2.97,ADOPTION,HEALTHY,Other,,Other,
77,DOG,Male,TOY,0.81,ADOPTION,HEALTHY,WHITE,TAN,Other,CHIHUAHUA LH
78,DOG,Male,MED,0.98,ADOPTION,HEALTHY,WHITE,TAN,MIX,Other
79,DOG,Male,SMALL,0.3,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,
81,DOG,Male,MED,3.0,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BLUE,PIT BULL,
82,DOG,Male,LARGE,5.48,EUTHANIZE,TREATABLE/MANAGEABLE,BROWN,BLACK,Other,
84,DOG,Male,TOY,1.0,ADOPTION,TREATABLE/MANAGEABLE,BROWN,,CHIHUAHUA SH,
85,DOG,Male,TOY,1.0,ADOPTION,HEALTHY,TRICOLOR,,CHIHUAHUA SH,
86,DOG,Male,TOY,3.0,ADOPTION,HEALTHY,WHITE,BROWN,CHIHUAHUA SH,MIX
87,CAT,Female,SMALL,5.97,ADOPTION,HEALTHY,Other,,Other,
89,CAT,Female,SMALL,7.0,ADOPTION,HEALTHY,CALICO,,DOMESTIC SH,
90,DOG,Female,MED,0.97,ADOPTION,HEALTHY,WHITE,BROWN,PIT BULL,MIX
91,DOG,Male,X-LRG,-0.23,ADOPTION,HEALTHY,WHITE,,Other,
92,DOG,Male,LARGE,1.13,ADOPTION,TREATABLE/REHAB,WHITE,Other,MIX,Other
93,CAT,Female,LARGE,3.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC LH,
94,CAT,Male,SMALL,5.0,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
95,CAT,Female,SMALL,6.01,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC LH,
96,DOG,Male,MED,0.93,EUTHANIZE,TREATABLE/REHAB,WHITE,,PIT BULL,Other
97,DOG,Female,LARGE,1.0,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PIT BULL,
98,DOG,Male,SMALL,0.95,ADOPTION,HEALTHY,TAN,BLUE,PARSON RUSS TER,MIX
101,DOG,Male,LARGE,0.61,ADOPTION,HEALTHY,Other,,MIX,Other
104,DOG,Male,KITTN OR PUPPY,0.48,ADOPTION,HEALTHY,TAN,BLACK,ROTTWEILER,MIX
108,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PIT BULL,BORDER COLLIE
109,DOG,Male,LARGE,3.99,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BLACK,PIT BULL,
112,DOG,Female,SMALL,1.95,ADOPTION,HEALTHY,WHITE,Other,MIX,Other
113,DOG,Male,MED,1.11,ADOPTION,HEALTHY,BROWN,,PARSON RUSS TER,DACHSHUND
115,CAT,Male,SMALL,4.69,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
117,CAT,Female,SMALL,5.99,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
119,CAT,Male,SMALL,0.83,ADOPTION,HEALTHY,BLACK,,DOMESTIC MH,
121,DOG,Female,TOY,1.05,EUTHANIZE,HEALTHY,TAN,BLACK,MIN PINSCHER,
122,DOG,Female,LARGE,8.44,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,
123,DOG,Male,LARGE,3.93,ADOPTION,HEALTHY,GRAY,,PIT BULL,
124,DOG,Male,TOY,2.0,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,
126,DOG,Female,MED,5.92,ADOPTION,HEALTHY,WHITE,BLACK,Other,LABRADOR RETR
128,DOG,Female,SMALL,10.07,ADOPTION,HEALTHY,RED,,MIN PINSCHER,
131,DOG,Female,LARGE,6.97,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,MIX
134,DOG,Female,MED,7.17,EUTHANIZE,UNTREATABLE,WHITE,BROWN,PIT BULL,MIX
135,DOG,Female,MED,4.3,ADOPTION,TREATABLE/MANAGEABLE,BLACK,,LABRADOR RETR,MIX
136,CAT,Male,SMALL,3.0,ADOPTION,HEALTHY,Other,,DOMESTIC SH,
137,CAT,Male,SMALL,2.99,ADOPTION,TREATABLE/MANAGEABLE,BRN TABBY,,DOMESTIC SH,
138,CAT,Female,SMALL,11.66,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC LH,
139,CAT,Male,SMALL,10.0,ADOPTION,TREATABLE/REHAB,WHITE,Other,DOMESTIC SH,
141,CAT,Male,SMALL,3.0,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
144,DOG,Female,KITTN OR PUPPY,0.33,ADOPTION,HEALTHY,BROWN,BLACK,SCHNAUZER MIN,MIX
148,DOG,Male,TOY,3.03,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BROWN,CHIHUAHUA SH,MIX
151,CAT,Male,SMALL,10.01,ADOPTION,HEALTHY,BLACK,,DOMESTIC LH,
153,DOG,Male,MED,1.16,EUTHANIZE,HEALTHY,WHITE,,PIT BULL,Other
154,DOG,Male,MED,1.16,EUTHANIZE,HEALTHY,WHITE,,PIT BULL,Other
157,DOG,Female,SMALL,5.89,ADOPTION,HEALTHY,BROWN,BLACK,CHIHUAHUA SH,MIX
159,DOG,Male,KITTN OR PUPPY,0.33,EUTHANIZE,UNTREATABLE,TAN,BLUE,ROTTWEILER,
161,CAT,Male,SMALL,4.98,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC MH,
162,CAT,Female,SMALL,0.42,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
163,DOG,Male,MED,2.0,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,Other,AUST SHEPHERD,MIX
164,CAT,Unknown,KITTN OR PUPPY,0.17,EUTHANIZE,HEALTHY,BLACK,BLACK,DOMESTIC SH,
166,CAT,Male,SMALL,5.0,EUTHANIZE,TREATABLE/MANAGEABLE,Other,,Other,
167,DOG,Female,MED,3.0,EUTHANIZE,UNTREATABLE,WHITE,TAN,PIT BULL,
168,DOG,Male,LARGE,2.47,EUTHANIZE,UNTREATABLE,WHITE,BLUE,PIT BULL,
171,DOG,Female,TOY,7.99,ADOPTION,HEALTHY,WHITE,BROWN,CHIHUAHUA SH,
177,DOG,Male,TOY,6.95,ADOPTION,HEALTHY,WHITE,BLACK,CHIHUAHUA SH,
179,DOG,Female,SMALL,1.0,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,MIX
184,DOG,Male,SMALL,10.01,ADOPTION,TREATABLE/REHAB,RED,,POMERANIAN,
186,DOG,Male,SMALL,8.3,EUTHANIZE,UNTREATABLE,Other,,Other,
188,DOG,Male,LARGE,2.96,EUTHANIZE,TREATABLE/MANAGEABLE,TAN,BLACK,GERM SHEPHERD,MIX
191,CAT,Male,SMALL,4.98,ADOPTION,TREATABLE/REHAB,WHITE,GRAY,DOMESTIC SH,
192,DOG,Female,MED,1.0,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PIT BULL,MIX
194,DOG,Female,MED,2.0,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,Other,PIT BULL,MIX
195,DOG,Male,LARGE,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BLACK,PIT BULL,MIX
196,DOG,Female,LARGE,0.97,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,
203,CAT,Male,LARGE,2.0,EUTHANIZE,UNTREATABLE,WHITE,,DOMESTIC SH,
204,CAT,Female,SMALL,5.0,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
205,DOG,Female,SMALL,1.0,ADOPTION,HEALTHY,WHITE,BR BRINDLE,CHIHUAHUA SH,MIX
207,DOG,Male,SMALL,1.0,ADOPTION,HEALTHY,WHITE,BROWN,CHIHUAHUA SH,MIX
208,DOG,Male,KITTN OR PUPPY,0.5,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,MIX
209,DOG,Male,KITTN OR PUPPY,0.5,ADOPTION,HEALTHY,WHITE,Other,CHIHUAHUA SH,MIX
211,CAT,Female,SMALL,0.5,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
212,DOG,Male,MED,0.56,ADOPTION,HEALTHY,WHITE,BROWN,BORDER COLLIE,MIX
216,CAT,Male,KITTN OR PUPPY,0.32,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
219,CAT,Female,SMALL,10.01,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
220,CAT,Female,SMALL,3.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
221,DOG,Female,LARGE,7.89,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,
227,DOG,Female,LARGE,7.01,ADOPTION,TREATABLE/MANAGEABLE,WHITE,,LABRADOR RETR,Other
228,DOG,Male,MED,5.94,ADOPTION,HEALTHY,TAN,BLACK,BEAGLE,MIX
237,CAT,Male,SMALL,15.01,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
238,DOG,Male,LARGE,1.0,EUTHANIZE,TREATABLE/MANAGEABLE,BLACK,,LABRADOR RETR,MIX
239,DOG,Male,SMALL,2.0,ADOPTION,TREATABLE/MANAGEABLE,WHITE,,CHIHUAHUA SH,
244,CAT,Male,KITTN OR PUPPY,0.42,ADOPTION,TREATABLE/REHAB,GRAY TABBY,,DOMESTIC SH,
246,DOG,Male,SMALL,1.98,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,
250,DOG,Male,LARGE,2.0,EUTHANIZE,UNTREATABLE,WHITE,TAN,Other,
253,DOG,Female,SMALL,1.98,ADOPTION,HEALTHY,WHITE,BLACK,Other,
256,DOG,Male,SMALL,0.5,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,
257,DOG,Male,SMALL,3.95,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
259,DOG,Female,SMALL,2.99,ADOPTION,HEALTHY,TAN,,Other,CAIRN TERRIER
264,DOG,Male,MED,0.48,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,MIX
268,DOG,Male,MED,0.48,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,MIX
271,DOG,Female,KITTN OR PUPPY,0.33,ADOPTION,HEALTHY,BLACK,,DACHSHUND,MIX
273,DOG,Male,LARGE,2.0,EUTHANIZE,UNTREATABLE,WHITE,Other,PIT BULL,MIX
274,CAT,Unknown,SMALL,0.67,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC LH,
276,DOG,Male,MED,1.0,ADOPTION,HEALTHY,BLACK,Other,ROTTWEILER,CATAHOULA
278,CAT,Female,SMALL,0.3,ADOPTION,HEALTHY,Other,,DOMESTIC SH,
280,CAT,Female,SMALL,12.01,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC LH,
284,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,BROWN,PIT BULL,MIX
286,DOG,Male,MED,4.23,EUTHANIZE,UNTREATABLE,WHITE,BLACK,MIX,Other
287,DOG,Male,LARGE,3.0,ADOPTION,HEALTHY,BROWN,,PIT BULL,
288,DOG,Female,KITTN OR PUPPY,0.4,ADOPTION,HEALTHY,BROWN,BLACK,SCHNAUZER MIN,MIX
290,DOG,Male,LARGE,2.51,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PIT BULL,
296,DOG,Male,MED,0.91,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,LABRADOR RETR
298,DOG,Male,LARGE,4.04,EUTHANIZE,UNTREATABLE,WHITE,BLACK,ROTTWEILER,Other
300,CAT,Male,SMALL,17.01,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BLACK,DOMESTIC SH,
301,DOG,Female,SMALL,1.66,ADOPTION,HEALTHY,BLACK,,CAIRN TERRIER,MIX
308,CAT,Male,SMALL,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,,DOMESTIC SH,
309,DOG,Female,TOY,1.0,ADOPTION,HEALTHY,WHITE,BLACK,CHIHUAHUA SH,
312,CAT,Female,SMALL,4.0,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BLACK,DOMESTIC LH,
313,CAT,Female,SMALL,5.0,ADOPTION,TREATABLE/MANAGEABLE,Other,,DOMESTIC SH,
353,CAT,Female,KITTN OR PUPPY,0.47,ADOPTION,HEALTHY,TORTIE,BRN TABBY,DOMESTIC SH,
359,DOG,Female,SMALL,1.98,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,MIX
360,DOG,Male,SMALL,7.98,ADOPTION,HEALTHY,WHITE,,MIX,Other
361,DOG,Male,LARGE,0.59,EUTHANIZE,UNTREATABLE,Other,,PIT BULL,
362,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,WHITE,BR BRINDLE,PIT BULL,
363,DOG,Male,KITTN OR PUPPY,0.34,EUTHANIZE,TREATABLE/REHAB,WHITE,BLACK,PIT BULL,
364,DOG,Female,KITTN OR PUPPY,0.34,EUTHANIZE,TREATABLE/REHAB,WHITE,BR BRINDLE,PIT BULL,
365,CAT,Female,SMALL,15.01,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC LH,
366,CAT,Female,SMALL,8.01,ADOPTION,HEALTHY,TORTIE,,DOMESTIC MH,
367,CAT,Female,SMALL,6.08,ADOPTION,HEALTHY,Other,,Other,
368,DOG,Female,MED,2.0,ADOPTION,HEALTHY,WHITE,,POODLE MIN,Other
369,DOG,Female,TOY,11.66,ADOPTION,TREATABLE/MANAGEABLE,BLACK,,CHIHUAHUA SH,MIX
373,CAT,Female,SMALL,15.01,EUTHANIZE,UNTREATABLE,Other,,DOMESTIC SH,
374,CAT,Female,SMALL,16.97,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
375,DOG,Male,MED,1.34,EUTHANIZE,UNTREATABLE,WHITE,BLUE,PIT BULL,
376,DOG,Female,LARGE,2.51,ADOPTION,HEALTHY,BR BRINDLE,,BOXER,MIX
377,DOG,Male,SMALL,1.99,ADOPTION,HEALTHY,WHITE,Other,CHIHUAHUA SH,BEAGLE
379,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
380,DOG,Male,LARGE,0.8,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PIT BULL,
385,DOG,Male,LARGE,5.0,ADOPTION,HEALTHY,WHITE,BROWN,PIT BULL,
403,CAT,Female,SMALL,4.0,ADOPTION,HEALTHY,CALICO,,DOMESTIC LH,
404,CAT,Male,SMALL,4.0,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
406,DOG,Female,LARGE,1.98,ADOPTION,HEALTHY,GRAY,,PIT BULL,
410,DOG,Male,MED,2.0,ADOPTION,HEALTHY,WHITE,BROWN,PIT BULL,MIX
411,CAT,Unknown,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,Other,DOMESTIC MH,
414,CAT,Male,SMALL,1.0,ADOPTION,TREATABLE/REHAB,BLACK,,DOMESTIC LH,
415,DOG,Male,SMALL,2.98,ADOPTION,HEALTHY,WHITE,Other,SHIH TZU,MIX
417,DOG,Female,MED,0.59,ADOPTION,HEALTHY,WHITE,TAN,PARSON RUSS TER,BEAGLE
418,DOG,Female,MED,4.95,ADOPTION,TREATABLE/MANAGEABLE,Other,,MIX,Other
419,DOG,Male,LARGE,1.12,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,BOXER
420,DOG,Female,MED,7.01,ADOPTION,TREATABLE/REHAB,GRAY,,PIT BULL,MIX
422,CAT,Female,SMALL,15.01,EUTHANIZE,UNTREATABLE,TORTIE,,DOMESTIC SH,
423,CAT,Female,SMALL,17.01,EUTHANIZE,UNTREATABLE,TORTIE,,DOMESTIC SH,
424,DOG,Male,LARGE,2.0,EUTHANIZE,TREATABLE/REHAB,TAN,,PIT BULL,
426,CAT,Male,SMALL,0.98,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
427,DOG,Female,MED,2.0,ADOPTION,HEALTHY,WHITE,BLUE,PIT BULL,
428,CAT,Female,SMALL,1.0,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
429,DOG,Female,MED,2.0,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,
430,DOG,Female,SMALL,1.0,ADOPTION,HEALTHY,WHITE,TAN,DACHSHUND,CHIHUAHUA SH
431,DOG,Male,TOY,6.96,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,
432,DOG,Female,SMALL,2.0,ADOPTION,HEALTHY,BROWN,BLACK,CAIRN TERRIER,MIX
433,CAT,Male,SMALL,0.98,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
435,CAT,Female,SMALL,15.01,EUTHANIZE,UNTREATABLE,GRAY,BROWN,DOMESTIC LH,
437,CAT,Male,SMALL,0.49,ADOPTION,TREATABLE/MANAGEABLE,GRAY,,DOMESTIC SH,
441,CAT,Male,SMALL,6.01,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
443,DOG,Male,SMALL,3.97,ADOPTION,TREATABLE/REHAB,TAN,BROWN,Other,
444,DOG,Female,LARGE,7.01,ADOPTION,TREATABLE/MANAGEABLE,TAN,BROWN,LABRADOR RETR,MIX
445,DOG,Male,TOY,1.55,ADOPTION,HEALTHY,GRAY,BROWN,CHIHUAHUA SH,
450,DOG,Male,LARGE,0.88,ADOPTION,TREATABLE/REHAB,WHITE,Other,Other,BORDER COLLIE
452,DOG,Male,TOY,0.31,ADOPTION,HEALTHY,Other,,CHIHUAHUA SH,MIX
455,DOG,Male,SMALL,0.28,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
456,CAT,Unknown,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,GRAY,DOMESTIC MH,
458,DOG,Female,SMALL,8.47,ADOPTION,HEALTHY,WHITE,,PARSON RUSS TER,
459,DOG,Male,MED,2.0,EUTHANIZE,UNTREATABLE,WHITE,BROWN,PIT BULL,MIX
460,CAT,Female,SMALL,12.01,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
461,DOG,Female,SMALL,2.0,ADOPTION,HEALTHY,WHITE,BLACK,Other,CAIRN TERRIER
462,DOG,Female,MED,4.0,ADOPTION,HEALTHY,BROWN,BLACK,AUST SHEPHERD,MIX
464,DOG,Male,MED,5.94,ADOPTION,TREATABLE/REHAB,WHITE,,Other,
466,DOG,Male,SMALL,4.02,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,
468,DOG,Female,MED,3.98,ADOPTION,HEALTHY,BLACK,,Other,
469,DOG,Male,LARGE,2.0,ADOPTION,HEALTHY,WHITE,BLUE,PIT BULL,
471,DOG,Female,MED,2.36,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
472,DOG,Male,LARGE,1.39,EUTHANIZE,UNTREATABLE,WHITE,TAN,PIT BULL,MIX
475,DOG,Female,SMALL,0.48,ADOPTION,HEALTHY,TAN,GRAY,CHIHUAHUA SH,
477,DOG,Female,SMALL,0.48,ADOPTION,HEALTHY,WHITE,TAN,CHIHUAHUA SH,
479,CAT,Female,SMALL,16.01,EUTHANIZE,UNTREATABLE,WHITE,Other,SIAMESE,MIX
487,DOG,Male,MED,1.0,EUTHANIZE,HEALTHY,WHITE,BR BRINDLE,PIT BULL,
489,DOG,Female,TOY,0.76,ADOPTION,HEALTHY,TAN,BROWN,CHIHUAHUA LH,
490,DOG,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TAN,BLACK,ROTTWEILER,LABRADOR RETR
493,CAT,Male,SMALL,4.84,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
494,DOG,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TAN,BLACK,ROTTWEILER,LABRADOR RETR
496,DOG,Male,SMALL,0.24,ADOPTION,HEALTHY,WHITE,TAN,Other,
497,DOG,Female,SMALL,0.24,ADOPTION,HEALTHY,WHITE,BROWN,Other,
498,DOG,Male,SMALL,3.0,ADOPTION,HEALTHY,WHITE,,CHIHUAHUA SH,
499,DOG,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,TAN,BLACK,ROTTWEILER,LABRADOR RETR
501,DOG,Male,MED,1.0,EUTHANIZE,HEALTHY,WHITE,BLACK,PIT BULL,
502,DOG,Male,MED,0.3,ADOPTION,HEALTHY,WHITE,TAN,AUST CATTLE DOG,MIX
504,DOG,Female,TOY,1.0,ADOPTION,TREATABLE/REHAB,BLACK,,CHIHUAHUA LH,MIX
506,DOG,Male,MED,5.94,ADOPTION,TREATABLE/REHAB,TAN,,MIX,Other
507,CAT,Unknown,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
510,DOG,Female,MED,3.0,EUTHANIZE,HEALTHY,TAN,BLACK,PUG,MIX
512,DOG,Female,MED,3.0,EUTHANIZE,HEALTHY,TAN,BLACK,Other,
